Date,Holiday/event,Notes
2016-01-01,New year,
2017-02-01,New year,Holiday observed on Monday.
2018-01-01,New year,
2016-01-18,"Dr. Martin Luther King, Jr. Day",
2017-01-16,"Dr. Martin Luther King, Jr. Day",
2018-01-15,"Dr. Martin Luther King, Jr. Day",
2016-02-12,Lincoln’s birthday,
2017-02-13,Lincoln’s birthday,Holiday observed on Monday.
2018-02-12,Lincoln’s birthday,
2016-02-15,Washington’s birthday,Observed on third monday of Feb.
2017-02-20,Washington’s birthday,Observed on third monday of Feb.
2018-02-19,Washington’s birthday,Observed on third monday of Feb.
2016-05-30,Memorial day,
2017-05-29,Memorial day,
2018-05-28,Memorial day,
2016-07-04,Independence day,
2017-07-04,Independence day,
2018-07-04,Independence day,
2016-05-09,Labor day,
2017-09-04,Labor day,
2018-09-03,Labor day,
2016-11-11,Veteran’s day,
2017-11-11,Veteran’s day,
2018-11-12,Veteran’s day,
2016-11-24,Thanksgiving day,
2017-11-23,Thanksgiving day,
2018-11-22,Thanksgiving day,
2016-12-26,Christmas,Holiday observed on Monday.
2017-12-25,Christmas,
2018-12-25,Christmas,
2016-02-14,Valentine’s day,
2017-02-14,Valentine’s day,
2018-02-12,Valentine’s day,
2016-03-25,Good Friday,
2017-04-14,Good Friday,
2018-03-30,Good Friday,
2016-03-27,Easter,
2017-04-16,Easter,
2018-04-01,Easter,
2016-05-08,Mothers day,
2017-05-14,Mothers day,
2018-05-13,Mothers day,
2016-06-19,Fathers day,
2017-06-18,Fathers day,
2018-06-17,Fathers day,
2016-10-31,Halloween,
2017-10-31,Halloween,
2018-10-31,Halloween,
